subject,Eword,Erecall,valencemean,arousalmean,Em1word,Em1recall
34,sida,0,1.45,7.35,fuente,0
34,masacre,0,1.3,6.9,dialogo,1
34,tumor,1,1.33,7.45,cabeza,1
34,sufrimiento,1,1.95,8.3,sensibilidad,0
34,suicida,1,2.15,7.65,brinco,1
34,nazi,1,1.6,7.95,natal,0
34,asfixia,0,1.3,8,inhalaci�n,0
34,hambruna,0,1.95,7.35,buffet,0
34,plaga,1,2.3,7,planeta,1
34,traidor,1,2.25,7.15,ser,1
34,cancer,1,1.23,7.8,energ�a,1
34,asesino,1,2.03,7.6,banquero,1
35,ceguera,1,2.75,6.95,video,0
35,crimen,1,2.15,7.9,capitulo,0
35,suicida,1,2.15,7.65,andamio,1
35,hambruna,0,1.95,7.35,comida,0
35,traidor,1,2.25,7.15,relaci�n,1
35,sufrimiento,1,1.95,8.3,sensibilidad,0
35,asesino,0,2.03,7.6,qu�mico,0
35,cancer,1,1.23,7.8,energ�a,0
35,nazi,1,1.6,7.95,originario,0
35,violacion,0,1.18,8.13,declaraci�n,0
35,tumor,1,1.33,7.45,cerebro,1
35,sida,1,1.45,7.35,importaci�n,0
35,terrorista,1,1.5,7.6,encuentro,0
35,plaga,0,2.3,7,vida,0
35,amputacion,1,2.1,7.1,extremidad,0
35,morgue,1,2.9,6.17,envase,1
35,asfixia,1,1.3,8,vapor,1
35,masacre,0,1.3,6.9,simposio,1
36,terrorista,1,1.5,7.6,aeropuerto,0
36,masacre,1,1.3,6.9,congregaci�n,1
36,sufrimiento,1,1.95,8.3,vibraci�n,1
36,traidor,0,2.25,7.15,compa�ero,1
36,asesino,1,2.03,7.6,actor,1
36,plaga,0,2.3,7,planeta,0
36,amputacion,0,2.1,7.1,extremidad,0
36,nazi,1,1.6,7.95,viaje,1
36,hambruna,1,1.95,7.35,buffet,1
36,morgue,0,2.9,6.17,nevera,0
36,asfixia,1,1.3,8,brisa,0
36,cancer,1,1.23,7.8,luminoso,0
36,ceguera,1,2.75,6.95,�ptica,0
36,violacion,1,1.18,8.13,norma,1
36,sida,0,1.45,7.35,receptor,1
36,suicida,1,2.15,7.65,ventana,1
36,tumor,0,1.33,7.45,imaginaci�n,0
36,crimen,0,2.15,7.9,texto,1
37,morgue,1,2.9,6.17,nevera,0
37,traidor,1,2.25,7.15,colega,1
37,nazi,1,1.6,7.95,viaje,1
37,sida,1,1.45,7.35,fuente,0
37,cancer,0,1.23,7.8,destello,0
37,asfixia,1,1.3,8,nariz,1
37,asesino,0,2.03,7.6,profesi�n,1
37,amputacion,1,2.1,7.1,brazo,1
37,plaga,1,2.3,7,ambiente,0
37,terrorista,0,1.5,7.6,encuentro,0
37,hambruna,1,1.95,7.35,buffet,1
37,tumor,1,1.33,7.45,inteligencia,0
37,crimen,0,2.15,7.9,biograf�a,0
37,suicida,1,2.15,7.65,cima,1
37,violacion,0,1.18,8.13,contrato,0
37,ceguera,1,2.75,6.95,ojo,1
37,masacre,1,1.3,6.9,gente,1
37,sufrimiento,0,1.95,8.3,sensibilidad,0
38,ceguera,0,2.75,6.95,fotograf�a,1
38,crimen,0,2.15,7.9,editor,0
38,terrorista,1,1.5,7.6,estaci�n,1
38,asesino,1,2.03,7.6,ocupaci�n,0
38,masacre,0,1.3,6.9,asociaci�n,0
38,tumor,0,1.33,7.45,inteligencia,1
38,suicida,1,2.15,7.65,balc�n,1
38,sida,1,1.45,7.35,se�al,0
38,hambruna,1,1.95,7.35,restaurante,0
38,asfixia,1,1.3,8,inhalaci�n,0
38,amputacion,0,2.1,7.1,extremidad,1
38,violacion,1,1.18,8.13,declaraci�n,1
38,plaga,0,2.3,7,ambiente,0
38,sufrimiento,0,1.95,8.3,dedo,1
38,cancer,1,1.23,7.8,d�a,0
38,nazi,1,1.6,7.95,idioma,0
38,traidor,0,2.25,7.15,individuo,0
38,morgue,1,2.9,6.17,ba�l,1
39,suicida,1,2.15,7.65,altura,0
39,ceguera,1,2.75,6.95,�ptica,0
39,plaga,0,2.3,7,universo,1
39,violacion,1,1.18,8.13,permiso,0
39,crimen,1,2.15,7.9,historia,1
39,tumor,1,1.33,7.45,creatividad,1
39,sufrimiento,1,1.95,8.3,sensaci�n,0
39,masacre,1,1.3,6.9,comunidad,0
39,terrorista,0,1.5,7.6,aeropuerto,1
39,traidor,1,2.25,7.15,dama,0
39,asfixia,0,1.3,8,ventilaci�n,0
39,hambruna,1,1.95,7.35,restaurante,0
39,morgue,1,2.9,6.17,trastero,0
