subject,word,recall,wordposition,valencemean,valencesd,arousalmean,arousalsd
11,ceguera,0,E,2.75,1.33,6.95,1.39
11,regla,0,Em1,NaN,NaN,NaN,NaN
11,violacion,1,E,1.18,0.5,8.13,1.11
12,almuerzo,1,Em1,NaN,NaN,NaN,NaN
12,hambruna,1,E,1.95,1.31,7.35,1.18
12,trastero,1,Em1,NaN,NaN,NaN,NaN
12,morgue,1,E,2.9,1.95,6.17,1.93
12,transacci�n,1,Em1,NaN,NaN,NaN,NaN
12,sida,1,E,1.45,0.69,7.35,1.46
12,contrato,0,Em1,NaN,NaN,NaN,NaN
12,violacion,0,E,1.18,0.5,8.13,1.11
12,pulm�n,1,Em1,NaN,NaN,NaN,NaN
12,asfixia,1,E,1.3,0.57,8,1.21
12,actor,1,Em1,NaN,NaN,NaN,NaN
12,asesino,1,E,2.03,1.27,7.6,1.73
12,nacionalidad,1,Em1,NaN,NaN,NaN,NaN
12,nazi,1,E,1.6,0.88,7.95,1.28
12,texto,0,Em1,NaN,NaN,NaN,NaN
12,crimen,0,E,2.15,1.17,7.9,1.17
12,evoluci�n,1,Em1,NaN,NaN,NaN,NaN
12,plaga,0,E,2.3,1.17,7,1.52
12,concurrencia,1,Em1,NaN,NaN,NaN,NaN
12,masacre,1,E,1.3,0.57,6.9,2.15
12,dedo,0,Em1,NaN,NaN,NaN,NaN
12,sufrimiento,1,E,1.95,1.15,8.3,0.86
12,energ�a,0,Em1,NaN,NaN,NaN,NaN
12,cancer,1,E,1.23,0.73,7.8,1.24
12,ojo,0,Em1,NaN,NaN,NaN,NaN
12,ceguera,1,E,2.75,1.33,6.95,1.39
12,persona,0,Em1,NaN,NaN,NaN,NaN
12,traidor,1,E,2.25,1.24,7.15,1.76
12,raz�n,1,Em1,NaN,NaN,NaN,NaN
12,tumor,1,E,1.33,0.69,7.45,1.05
12,andamio,1,Em1,NaN,NaN,NaN,NaN
12,suicida,1,E,2.15,1.39,7.65,1.04
12,estaci�n,1,Em1,NaN,NaN,NaN,NaN
12,terrorista,1,E,1.5,0.88,7.6,1.39
12,cadera,0,Em1,NaN,NaN,NaN,NaN
12,amputacion,1,E,2.1,1.17,7.1,1.45
14,piel,0,Em1,NaN,NaN,NaN,NaN
14,sufrimiento,0,E,1.95,1.15,8.3,0.86
14,asociaci�n,0,Em1,NaN,NaN,NaN,NaN
14,masacre,1,E,1.3,0.57,6.9,2.15
14,metro,1,Em1,NaN,NaN,NaN,NaN
14,terrorista,1,E,1.5,0.88,7.6,1.39
14,merienda,0,Em1,NaN,NaN,NaN,NaN
14,hambruna,0,E,1.95,1.31,7.35,1.18
14,caj�n,0,Em1,NaN,NaN,NaN,NaN
14,morgue,1,E,2.9,1.95,6.17,1.93
14,aprendiz,1,Em1,NaN,NaN,NaN,NaN
14,asesino,1,E,2.03,1.27,7.6,1.73
14,viento,1,Em1,NaN,NaN,NaN,NaN
14,asfixia,1,E,1.3,0.57,8,1.21
14,cultura,0,Em1,NaN,NaN,NaN,NaN
14,nazi,1,E,1.6,0.88,7.95,1.28
14,pierna,1,Em1,NaN,NaN,NaN,NaN
14,amputacion,1,E,2.1,1.17,7.1,1.45
14,ingenio,0,Em1,NaN,NaN,NaN,NaN
14,tumor,1,E,1.33,0.69,7.45,1.05
14,colega,1,Em1,NaN,NaN,NaN,NaN
14,traidor,1,E,2.25,1.24,7.15,1.76
14,video,1,Em1,NaN,NaN,NaN,NaN
14,ceguera,0,E,2.75,1.33,6.95,1.39
14,resoluci�n,0,Em1,NaN,NaN,NaN,NaN
14,violacion,1,E,1.18,0.5,8.13,1.11
14,transferencia,0,Em1,NaN,NaN,NaN,NaN
14,sida,0,E,1.45,0.69,7.35,1.46
14,puente,0,Em1,NaN,NaN,NaN,NaN
14,suicida,1,E,2.15,1.39,7.65,1.04
14,capitulo,1,Em1,NaN,NaN,NaN,NaN
14,crimen,1,E,2.15,1.17,7.9,1.17
14,atm�sfera,1,Em1,NaN,NaN,NaN,NaN
14,plaga,1,E,2.3,1.17,7,1.52
14,reflectante,0,Em1,NaN,NaN,NaN,NaN
14,cancer,1,E,1.23,0.73,7.8,1.24
15,casillero,0,Em1,NaN,NaN,NaN,NaN
15,morgue,1,E,2.9,1.95,6.17,1.93
15,importaci�n,0,Em1,NaN,NaN,NaN,NaN
15,sida,1,E,1.45,0.69,7.35,1.46
15,actor,1,Em1,NaN,NaN,NaN,NaN
15,asesino,1,E,2.03,1.27,7.6,1.73
15,desayuno,1,Em1,NaN,NaN,NaN,NaN
15,hambruna,1,E,1.95,1.31,7.35,1.18
15,destello,1,Em1,NaN,NaN,NaN,NaN
15,cancer,1,E,1.23,0.73,7.8,1.24
15,cerebro,1,Em1,NaN,NaN,NaN,NaN
15,tumor,1,E,1.33,0.69,7.45,1.05
15,contrato,0,Em1,NaN,NaN,NaN,NaN
15,violacion,1,E,1.18,0.5,8.13,1.11
15,tejado,0,Em1,NaN,NaN,NaN,NaN
15,suicida,1,E,2.15,1.39,7.65,1.04
15,atm�sfera,0,Em1,NaN,NaN,NaN,NaN
15,plaga,0,E,2.3,1.17,7,1.52
15,visado,0,Em1,NaN,NaN,NaN,NaN
15,nazi,1,E,1.6,0.88,7.95,1.28
15,tr�fico,1,Em1,NaN,NaN,NaN,NaN
15,terrorista,0,E,1.5,0.88,7.6,1.39
15,fotograf�a,0,Em1,NaN,NaN,NaN,NaN
15,ceguera,1,E,2.75,1.33,6.95,1.39
15,asamblea,0,Em1,NaN,NaN,NaN,NaN
15,masacre,1,E,1.3,0.57,6.9,2.15
15,historia,0,Em1,NaN,NaN,NaN,NaN
15,crimen,0,E,2.15,1.17,7.9,1.17
15,nudillo,0,Em1,NaN,NaN,NaN,NaN
15,amputacion,1,E,2.1,1.17,7.1,1.45
15,relaci�n,1,Em1,NaN,NaN,NaN,NaN
15,traidor,1,E,2.25,1.24,7.15,1.76
15,nervio,1,Em1,NaN,NaN,NaN,NaN
15,sufrimiento,1,E,1.95,1.15,8.3,0.86
15,branquias,1,Em1,NaN,NaN,NaN,NaN
15,asfixia,1,E,1.3,0.57,8,1.21
16,mujer,0,Em1,NaN,NaN,NaN,NaN
16,traidor,0,E,2.25,1.24,7.15,1.76
16,andamio,0,Em1,NaN,NaN,NaN,NaN
16,suicida,1,E,2.15,1.39,7.65,1.04
16,ojeada,0,Em1,NaN,NaN,NaN,NaN
16,ceguera,0,E,2.75,1.33,6.95,1.39
16,gente,0,Em1,NaN,NaN,NaN,NaN
16,masacre,0,E,1.3,0.57,6.9,2.15
16,vocaci�n,0,Em1,NaN,NaN,NaN,NaN
16,asesino,0,E,2.03,1.27,7.6,1.73
16,mu�eca,1,Em1,NaN,NaN,NaN,NaN
16,amputacion,1,E,2.1,1.17,7.1,1.45
16,historia,1,Em1,NaN,NaN,NaN,NaN
16,crimen,1,E,2.15,1.17,7.9,1.17
16,emisor,0,Em1,NaN,NaN,NaN,NaN
16,sida,1,E,1.45,0.69,7.35,1.46
16,pasajero,0,Em1,NaN,NaN,NaN,NaN
16,terrorista,1,E,1.5,0.88,7.6,1.39
16,almac�n,1,Em1,NaN,NaN,NaN,NaN
16,morgue,1,E,2.9,1.95,6.17,1.93
16,cuerpo,0,Em1,NaN,NaN,NaN,NaN
16,sufrimiento,1,E,1.95,1.15,8.3,0.86
16,mente,0,Em1,NaN,NaN,NaN,NaN
16,tumor,1,E,1.33,0.69,7.45,1.05
16,alimento,0,Em1,NaN,NaN,NaN,NaN
16,hambruna,1,E,1.95,1.31,7.35,1.18
16,universo,1,Em1,NaN,NaN,NaN,NaN
