oddballtype,relativerecall,SOA,subject
Emotional,1,6,61
Emotional,1,2,61
Emotional,0.125,3,61
Emotional,1,4,61
Emotional,0.5,3,62
Emotional,0.75,2,62
Emotional,0.888888888888889,6,62
Emotional,0.625,2,62
Emotional,1,3,62
Emotional,0.7,6,62
Emotional,0.9,4,62
Emotional,0.625,3,63
Emotional,1,6,63
Emotional,0.666666666666667,4,63
Emotional,0.909090909090909,3,63
Emotional,0.7,6,63
Emotional,0.625,2,63
Emotional,0.7,6,63
Emotional,1,4,63
Emotional,1,3,63
Emotional,0.666666666666667,4,63
Emotional,0.909090909090909,6,63
Emotional,0.8,4,64
Emotional,0.1,2,64
Emotional,0.333333333333333,2,64
Emotional,1,6,64
Emotional,0.625,3,64
Emotional,0.454545454545455,6,64
Emotional,0.444444444444444,2,64
Emotional,0.636363636363636,3,64
Emotional,0.444444444444444,6,64
Emotional,0.5,1,64
Emotional,0.555555555555556,3,64
Emotional,0.857142857142857,4,64
Emotional,0.5,4,64
Emotional,0.6,6,64
Emotional,0.8,4,65
Emotional,0.625,3,65
Emotional,1,3,65
Emotional,0.8,6,65
Emotional,1,6,65
Emotional,0.888888888888889,4,65
Emotional,0.75,2,65
Emotional,0.2,1,65
Emotional,0.666666666666667,1,65
Emotional,1,4,66
Emotional,0.75,2,66
Emotional,0.857142857142857,6,66
Emotional,0.833333333333333,6,66
Emotional,1,6,66
Emotional,0.428571428571429,3,66
Emotional,0.666666666666667,3,66
Emotional,0.222222222222222,4,66
Emotional,0.285714285714286,6,67
Emotional,0.8,2,67
Emotional,0.5,3,67
Emotional,0.8,1,67
Emotional,0.75,2,67
Emotional,0.888888888888889,3,67
Emotional,0.75,6,67
Emotional,0.777777777777778,3,67
Emotional,0.7,4,67
Emotional,0.5,4,67
Emotional,0.363636363636364,6,67
Emotional,0.428571428571429,1,67
Emotional,0.857142857142857,2,67
Emotional,1,1,67
Emotional,0.8,4,68
Emotional,1,3,68
Emotional,0.9,6,68
Emotional,1,2,68
Emotional,0.75,3,68
Emotional,0.166666666666667,1,68
Emotional,0.454545454545455,6,68
Emotional,0.625,6,68
Emotional,0.428571428571429,1,68
Emotional,0.875,6,68
Emotional,0.666666666666667,2,68
Emotional,0.625,1,68
Emotional,0.8,1,68
Emotional,0.2,1,69
Emotional,0.875,3,69
Emotional,1,1,69
Emotional,0.5,4,69
Emotional,0.777777777777778,2,69
Emotional,0.833333333333333,6,69
Emotional,0.571428571428571,3,69
Emotional,0.818181818181818,3,69
Emotional,0.777777777777778,6,69
Emotional,0.7,4,69
Emotional,0.5,2,69
Emotional,0.833333333333333,6,69
Emotional,0.777777777777778,6,69
Emotional,0.909090909090909,4,69
Emotional,1,2,69
Emotional,1,3,70
Emotional,0.8,4,70
Emotional,0.333333333333333,4,70
Emotional,0.5,2,70
Emotional,1,6,70
Emotional,0.2,1,70
Emotional,0.818181818181818,6,70
