subject,oddballtype,recall,sp,pfr
32,Emotional,remembered,8,0.0769230769230769
33,Emotional,remembered,8,0.2
34,Emotional,remembered,8,0.0714285714285714
35,Emotional,remembered,8,0
36,Emotional,remembered,8,0.0769230769230769
37,Emotional,remembered,8,0
38,Emotional,remembered,8,0
39,Emotional,remembered,8,0.0625
40,Emotional,remembered,8,0.117647058823529
41,Emotional,remembered,8,0.214285714285714
42,Emotional,remembered,8,0
43,Emotional,remembered,8,0
44,Emotional,remembered,8,0
45,Emotional,remembered,8,0
46,Emotional,remembered,8,0
47,Emotional,remembered,8,0.0666666666666667
48,Emotional,remembered,8,0.111111111111111
49,Emotional,remembered,8,0.0714285714285714
50,Emotional,remembered,8,0.0714285714285714
51,Emotional,remembered,8,0
52,Emotional,remembered,8,0
53,Emotional,remembered,8,0.0833333333333333
54,Emotional,remembered,8,0.0588235294117647
55,Emotional,remembered,8,0
56,Emotional,remembered,8,0
57,Emotional,remembered,8,0.142857142857143
58,Emotional,remembered,8,0
59,Emotional,remembered,8,0.1
60,Emotional,remembered,8,0.0769230769230769
61,Emotional,remembered,8,0.1
62,Emotional,remembered,8,0
63,Emotional,remembered,8,0
64,Emotional,remembered,8,0
65,Emotional,remembered,8,0
66,Emotional,remembered,8,0
67,Emotional,remembered,8,0.0714285714285714
68,Emotional,remembered,8,0
69,Emotional,remembered,8,0
70,Emotional,remembered,8,0
71,Emotional,remembered,8,0.166666666666667
72,Emotional,remembered,8,0.1
73,Emotional,remembered,8,0.111111111111111
74,Emotional,remembered,8,0
75,Emotional,remembered,8,0
4,Emotional,remembered,9,0
5,Emotional,remembered,9,0
6,Emotional,remembered,9,0
7,Emotional,remembered,9,0
9,Emotional,remembered,9,0.0714285714285714
10,Emotional,remembered,9,0
11,Emotional,remembered,9,0
12,Emotional,remembered,9,0
14,Emotional,remembered,9,0.0666666666666667
15,Emotional,remembered,9,0
16,Emotional,remembered,9,0
17,Emotional,remembered,9,0.111111111111111
18,Emotional,remembered,9,0.0588235294117647
19,Emotional,remembered,9,0.0909090909090909
20,Emotional,remembered,9,0
21,Emotional,remembered,9,0.1
22,Emotional,remembered,9,0
23,Emotional,remembered,9,0.111111111111111
24,Emotional,remembered,9,0
25,Emotional,remembered,9,0
26,Emotional,remembered,9,0
27,Emotional,remembered,9,0
28,Emotional,remembered,9,0.0833333333333333
29,Emotional,remembered,9,0.0625
30,Emotional,remembered,9,0
31,Emotional,remembered,9,0
32,Emotional,remembered,9,0.0769230769230769
33,Emotional,remembered,9,0.0666666666666667
34,Emotional,remembered,9,0
35,Emotional,remembered,9,0
36,Emotional,remembered,9,0.0769230769230769
37,Emotional,remembered,9,0
38,Emotional,remembered,9,0.0909090909090909
39,Emotional,remembered,9,0.0625
40,Emotional,remembered,9,0
41,Emotional,remembered,9,0.142857142857143
42,Emotional,remembered,9,0
43,Emotional,remembered,9,0.0833333333333333
44,Emotional,remembered,9,0
45,Emotional,remembered,9,0
46,Emotional,remembered,9,0.0833333333333333
47,Emotional,remembered,9,0
48,Emotional,remembered,9,0.111111111111111
49,Emotional,remembered,9,0.142857142857143
50,Emotional,remembered,9,0
51,Emotional,remembered,9,0
52,Emotional,remembered,9,0
53,Emotional,remembered,9,0
54,Emotional,remembered,9,0
55,Emotional,remembered,9,0
56,Emotional,remembered,9,0
57,Emotional,remembered,9,0
58,Emotional,remembered,9,0
59,Emotional,remembered,9,0
60,Emotional,remembered,9,0
61,Emotional,remembered,9,0
62,Emotional,remembered,9,0
63,Emotional,remembered,9,0
64,Emotional,remembered,9,0
65,Emotional,remembered,9,0
66,Emotional,remembered,9,0
67,Emotional,remembered,9,0.0714285714285714
68,Emotional,remembered,9,0.0769230769230769
69,Emotional,remembered,9,0
70,Emotional,remembered,9,0.1
71,Emotional,remembered,9,0.0833333333333333
72,Emotional,remembered,9,0.1
73,Emotional,remembered,9,0
74,Emotional,remembered,9,0
75,Emotional,remembered,9,0.0909090909090909
4,Emotional,remembered,10,0
5,Emotional,remembered,10,0.0833333333333333
6,Emotional,remembered,10,0.0909090909090909
7,Emotional,remembered,10,0.125
9,Emotional,remembered,10,0
10,Emotional,remembered,10,0.153846153846154
11,Emotional,remembered,10,0.0666666666666667
12,Emotional,remembered,10,0
14,Emotional,remembered,10,0
15,Emotional,remembered,10,0.0625
16,Emotional,remembered,10,0
17,Emotional,remembered,10,0.111111111111111
18,Emotional,remembered,10,0.117647058823529
19,Emotional,remembered,10,0.181818181818182
20,Emotional,remembered,10,0
21,Emotional,remembered,10,0.2
22,Emotional,remembered,10,0
23,Emotional,remembered,10,0
24,Emotional,remembered,10,0
25,Emotional,remembered,10,0
26,Emotional,remembered,10,0
27,Emotional,remembered,10,0
28,Emotional,remembered,10,0
29,Emotional,remembered,10,0.0625
30,Emotional,remembered,10,0.111111111111111
31,Emotional,remembered,10,0
32,Emotional,remembered,10,0
33,Emotional,remembered,10,0
34,Emotional,remembered,10,0
35,Emotional,remembered,10,0
36,Emotional,remembered,10,0
37,Emotional,remembered,10,0
