oddballtype,relativerecall,SOA,subject
Perceptual,0.4875,2,55
Perceptual,0.53968,3,55
Perceptual,0.62308,4,55
Perceptual,0.69153,6,55
Emotional,,1,56
Emotional,0.625,2,56
Emotional,0.58333,3,56
Emotional,0.75238,4,56
Emotional,0.88889,6,56
Perceptual,1,1,56
Perceptual,0.62626,2,56
Perceptual,0.49832,3,56
Perceptual,0.35238,4,56
Perceptual,0.64285,6,56
Emotional,0.8,1,57
Emotional,1,2,57
Emotional,0.66667,3,57
Emotional,0.78125,4,57
Emotional,,6,57
Perceptual,0.6,1,57
Perceptual,0.57143,2,57
Perceptual,0.5,3,57
Perceptual,,4,57
Perceptual,0.57143,6,57
Emotional,0.75,1,58
Emotional,0.6,2,58
Emotional,0.95833,3,58
Emotional,0.7125,4,58
Emotional,0.55291,6,58
Perceptual,,1,58
Perceptual,0.81666,2,58
Perceptual,0.37037,3,58
Perceptual,0.875,4,58
Perceptual,0.8125,6,58
Emotional,,1,59
Emotional,0.69192,2,59
Emotional,0.62963,3,59
Emotional,0.88889,4,59
Emotional,0.825,6,59
Perceptual,,1,59
Perceptual,0.625,2,59
Perceptual,0.56768,3,59
Perceptual,,4,59
Perceptual,1,6,59
Emotional,0.16667,1,6
Emotional,0.4375,2,6
Emotional,0.11688,3,6
Emotional,0.51852,4,6
Emotional,0.61376,6,6
Perceptual,1,1,6
Perceptual,0.53334,2,6
Perceptual,0.85043,3,6
Perceptual,0.19192,4,6
Perceptual,0.88889,6,6
Emotional,0.5,1,60
Emotional,0.375,2,60
Emotional,0.62699,3,60
Emotional,0.63095,4,60
Emotional,0.41667,6,60
Perceptual,0.27857,1,60
Perceptual,0.61459,2,60
Perceptual,0.66667,3,60
Perceptual,0.14286,4,60
Perceptual,0.88889,6,60
Emotional,,1,61
Emotional,0.7,2,61
Emotional,0.27976,3,61
Emotional,1,4,61
Emotional,0.65278,6,61
Perceptual,0.86786,1,61
Perceptual,0.4375,2,61
Perceptual,0.49167,3,61
Perceptual,0.86905,4,61
Perceptual,0.48413,6,61
Emotional,,1,62
Emotional,0.6875,2,62
Emotional,0.75,3,62
Emotional,0.9,4,62
Emotional,0.79444,6,62
Perceptual,0.2,1,62
Perceptual,0.48333,2,62
Perceptual,0.65972,3,62
Perceptual,0.33333,4,62
Perceptual,0.39848,6,62
Emotional,,1,63
Emotional,0.625,2,63
Emotional,0.8447,3,63
Emotional,0.77778,4,63
Emotional,0.82727,6,63
Perceptual,0.63294,1,63
Perceptual,0.59091,2,63
Perceptual,0.61111,3,63
Perceptual,0.45139,4,63
Perceptual,0.61662,6,63
Emotional,0.5,1,64
Emotional,0.29259,2,64
Emotional,0.60564,3,64
Emotional,0.71905,4,64
Emotional,0.62475,6,64
Perceptual,0.4,1,64
Perceptual,0.48571,2,64
Perceptual,0.29861,3,64
Perceptual,0.80833,4,64
Perceptual,0.52747,6,64
Emotional,0.43334,1,65
Emotional,0.75,2,65
Emotional,0.8125,3,65
Emotional,0.84445,4,65
Emotional,0.9,6,65
Perceptual,0.38889,1,65
Perceptual,0.6875,2,65
Perceptual,0.72222,3,65
Perceptual,,4,65
Perceptual,0.61189,6,65
Emotional,,1,66
Emotional,0.75,2,66
Emotional,0.54762,3,66
Emotional,0.61111,4,66
Emotional,0.89682,6,66
Perceptual,0.75,1,66
Perceptual,0.80086,2,66
Perceptual,0.73318,3,66
Perceptual,0.2123,4,66
Perceptual,0.28466,6,66
Emotional,0.74286,1,67
Emotional,0.80238,2,67
Emotional,0.72222,3,67
Emotional,0.6,4,67
Emotional,0.46645,6,67
Perceptual,0.48413,1,67
Perceptual,0.125,2,67
Perceptual,0.34821,3,67
Perceptual,1,4,67
Perceptual,0.30091,6,67
Emotional,0.50506,1,68
Emotional,0.83333,2,68
Emotional,0.875,3,68
Emotional,0.8,4,68
Emotional,0.71364,6,68
Perceptual,0.28571,1,68
